"ID";"pkey";"issuenum";"PROJECT";"REPORTER";"ASSIGNEE";"CREATOR";"issuetype";"SUMMARY";"DESCRIPTION";"ENVIRONMENT";"PRIORITY";"RESOLUTION";"issuestatus";"CREATED";"UPDATED";"DUEDATE";"RESOLUTIONDATE";"VOTES";"WATCHES";"TIMEORIGINALESTIMATE";"TIMEESTIMATE";"TIMESPENT";"WORKFLOW_ID";"SECURITY";"FIXFOR";"COMPONENT"
"10201";\N;"2";"10100";"anja.grote";"mgrote";"anja.grote";"10102";"schnelleres Internet";"Das Internet ist zu langsam. Bitte schneller machen!";\N;"3";"1";"6";"2015-03-10 09:17:19";"2015-05-08 10:33:12";"2015-04-30 00:00:00";"2015-05-08 10:33:12";"0";"2";\N;\N;\N;"10544";\N;\N;\N
"10205";\N;"1";"10102";"mgrote";\N;"mgrote";"2";"Mapping";\N;\N;"3";\N;"10103";"2015-03-12 05:41:23";"2015-03-12 05:41:23";\N;\N;"0";"1";"432000";"432000";\N;"10205";\N;\N;\N
"10208";\N;"4";"10102";"mgrote";\N;"mgrote";"2";"Testfall";\N;\N;"3";\N;"10103";"2015-03-12 07:36:37";"2015-03-12 07:36:37";\N;\N;"0";"1";\N;\N;\N;"10208";\N;\N;\N
"10300";\N;"2";"10200";"mgrote";"mgrote";"mgrote";"10103";"WG: QL0_910, Prüfung /IDXGC/BACKSUP";"Hallo Mike,

 

(1) Prüfung für o.g. Punkt funktioniert auf Lief-Seite nicht. Habe für das Netz „STROM“ den Eintrag entfernt und dennoch wird eine Anmeldebestätigung versandt.

à Referenzen: PDoc QL0_910: 5597, PDoc QN0_910: 4892

(2) Auf Netz-Seite funktioniert die Prüfung. Es wird hier leider das PDoc auf „beendet“ gesetzt. Besser wäre ein Klärungsfall, sodass nach Pflege des BKSUP die Prüfung wiederholt werden kann.

à Referenz: PDoc QN0_910: 4890

 

Viele Grüße, Lars

 
[Created via e-mail received from: Mike Grote <mike.grote@incept4.de>]";\N;"3";"1";"10100";"2015-03-16 05:02:40";"2015-11-18 20:47:34";\N;"2015-11-18 20:47:34";"0";"1";\N;\N;\N;"10306";\N;\N;\N
"10301";\N;"3";"10200";"mgrote";"mgrote";"mgrote";"10103";"WG: QL0_910, Prüfung >10.000 kWh";"Hallo Mike,

o.g. Punkt geht durch die Prüfung auf QN0 und QL0.
Referenzen: QL0_910 5594 und QN0_910 4888..

Danke und Gruß, Lars

[Created via e-mail received from: Mike Grote <mike.grote@incept4.de>]";\N;"3";"1";"10100";"2015-03-16 05:03:39";"2015-03-18 23:32:34";"2015-03-18 00:00:00";"2015-03-18 23:32:34";"0";"1";\N;\N;\N;"10307";\N;\N;\N
"10302";\N;"4";"10200";"mgrote";"mgrote";"mgrote";"10100";"WG: I-Test 01.2015: Gerätetypfindung Lieferbeginn Gas scheitert";" 

 

Von: Lars.Krueger@t-systems.com [mailto:Lars.Krueger@t-systems.com]
Gesendet: Sonntag, 8. März 2015 20:28
An: Mike Grote
Betreff: I-Test 01.2015: Gerätetypfindung Lieferbeginn Gas scheitert

 

Hallo Mike,

 

unter PDoc 5552 auf QL0_910 findest du einen Fehler, dass die Gerätetypfindung scheitert.

Ich habe Etliches ausprobiert und auch debugged – leider nichts finden können.

 

Könntest du bitte einmal schauen? Wenn du zu bist, dann leite einfach an Andrzej oder

Olaf weiter.

 

DANKE & Grüße, Lars

 
[Created via e-mail received from: Mike Grote <mike.grote@incept4.de>]";\N;"3";"1";"10100";"2015-03-16 05:04:39";"2015-11-24 14:41:53";\N;"2015-03-19 02:15:33";"0";"1";\N;\N;\N;"10308";\N;\N;\N
"10501";\N;"8";"10200";"mgrote";\N;"mgrote";"10100";"AW: AW: Möglicher Fehler bei Antwortcode";"Hallo Lars,

 

eine Kundeeigene Variante brauchen wir da eigentlich nicht.

Dann schaue ich da auch nochmal.

 

Grüße

Mike

 

Von: Lars.Krueger@t-systems.com [mailto:Lars.Krueger@t-systems.com]
Gesendet: Dienstag, 17. März 2015 15:05
An: Mike Grote
Betreff: WG: AW: Möglicher Fehler bei Antwortcode

 

Hallo Mike,

 

anbei die Antwort von Andrzej zum Thema Z44.

Ich habe daraufhin Folgendes umgesetzt und auf Q transportiert:



 

Oder doch lieber eine kundeneigene ES103_006-Variante anlegen?

 

Grüße, Lars

_____________________________________________
Von: Burakowski, Andrzej
Gesendet: Montag, 9. März 2015 15:05
An: Krueger, Lars
Betreff: AW: Möglicher Fehler bei Antwortcode

 

 

Hallo Lars,

 

für das Problem mit der falschen Antwort Z44 muss man auf folge Customizingeinstellung aktivieren:

 



 



Auf EN0(910) ist mein User gerade gesperrt, aber ich habe es auf QN0(910) über SE16n gemacht und es hat geklappt…

Kannst Du es bitte in einen Transportauftrag schreiben. Ich habe den Jürgen um Entsperrung geben, er ist aber erst morgen da…

 

Grüße

Andrzej Burakowski

 

T-Systems GEI GmbH 

Systems Integration

GDU Future Solutions, GDC Energy Solutions

Services for Energy Processes East

Fasanenweg 5, 70771 Leinfelden-Echterdingen
+49 15117440285  (Mobil)

E-Mail: [1]andrzej.burakowski@t-systems.com

Internet: [2]http://www.t-systems.de

 

T-Systems GEI GmbH
Aufsichtsrat: Mariano Cordova (stv. Vorsitzender)
Geschäftsführung: Hans-Jörg Glaß (Vorsitzender), Jan Krellner
Handelsregister: Amtsgericht Aachen HRB 7106
Sitz der Gesellschaft:  Aachen
Ust.-Id Nr. DE 811 137 130 

Hinweis: Diese E-Mail und/oder die Anhänge sind vertraulich und ausschließlich für den bezeichneten Adressaten bestimmt. Die Weitergabe oder Kopieren dieser E-Mail ist strengstens verboten. Wenn Sie diese E-Mail irrtümlich erhalten haben, informieren Sie bitte unverzüglich den Absender und vernichten Sie die Nachricht und alle Anhänge. Vielen Dank.

 

Große Veränderungen fangen klein an – Ressourcen schonen und nicht jede E-Mail drucken.

 

 

 
----------------------------------------------------------------------------------------
[1] mailto:thomas.witt@t-systems.com
[2] http://www.t-systems.de/
[Created via e-mail received from: Mike Grote <mike.grote@incept4.de>]";\N;"3";\N;"10101";"2015-03-17 07:08:47";"2015-03-17 08:43:03";\N;\N;"0";"2";\N;\N;\N;"10504";\N;\N;\N
"10507";\N;"20";"10100";"claus.brueggemann@incept4.de";"mgrote";"claus.brueggemann@incept4.de";"10100";"Office läuft nicht";"Darum";\N;"3";"2";"6";"2015-03-19 00:18:17";"2015-03-26 09:27:19";\N;"2015-03-19 00:24:16";"0";"1";\N;\N;\N;"10542";\N;\N;\N
"10511";\N;"24";"10100";"marcus.sueselbeck";"mgrote";"marcus.sueselbeck";"10100";"Eine deutsche Dokumentation :-)";"Damit ich Jira bedienen kann :-)";\N;"3";"1";"5";"2015-03-24 09:10:10";"2015-03-30 09:33:57";\N;"2015-03-30 09:33:57";"0";"3";\N;\N;\N;"10543";\N;\N;\N
"10512";\N;"11";"10200";"mgrote";\N;"mgrote";"10100";"Fwd: Smoke-Test:: Wartung: bil.rel. SDÄ";"---------- Weitergeleitete Nachricht ----------
Von: ""Lars.Krueger@t-systems.com"" <Lars.Krueger@t-systems.com>
Datum: 25.03.2015 21:17
Betreff: Smoke-Test:: Wartung: bil.rel. SDÄ
An: Mike Grote <mike.grote@incept4.de>
Cc:

Hallo Mike, bil.rel. SDÄ (VB-Faktor) erzeugt im Netz einen Klärungsfall aufgrund der Feldprüfung der eingehenden Nachricht (PDoc_QN1_910: 1374).Das hatte ja im Q*0 geklappt. Könntest du bitte auch hier nochmal schauen? P.S. N.bil. SDÄ klappen zumindest perfekt. Danke & Grüße, Lars ";\N;"3";\N;"10101";"2015-03-25 13:59:01";"2015-03-26 08:44:16";\N;\N;"0";"0";\N;\N;\N;"10538";\N;\N;\N
